Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Energy Capacity,Owner,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Custom,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Custom (Base),Seasonal Mod,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12
Deep Explorer Mask,4047213660,"""6917529806518483945""",,Legendary,Helmet,duality,Hunter,1600,,1,Vault,false,false,5,17,,7,24,2,12,16,2,63,45,7,24,2,12,16,2,63,45,artifice,,high resilience,Upgrade Armor*,*,*,*,*,Artifice Armor*,,,,,,,
Deep Explorer Grasps,1148597205,"""6917529806508850988""",,Legendary,Gauntlets,duality,Hunter,1600,,4,Vault,true,false,5,17,,2,32,2,2,16,15,69,35,2,29,2,2,16,15,66,35,artifice,,high resilience,Upgrade Armor*,*,*,*,*,Resilience-Forged*,Artifice Armor*,,,,,,
Lightkin Grips,3479737253,"""6917529474036419156""",,Legendary,Gauntlets,servitor,Hunter,1600,,10,Vault,true,false,4,14,,4,4,29,23,4,12,76,52,2,2,27,21,2,10,64,52,,,high recovery + high discipline,Abyssinian Gold*,Upgrade Armor*,*,*,*,*,,,,,,,
Deep Explorer Vest,145651147,"""6917529806508851100""",,Legendary,Chest Armor,duality,Hunter,1600,,3,Vault,false,false,5,17,,10,24,2,6,16,12,70,39,7,24,2,6,16,12,67,39,artifice,,high resilience,Charged Up*,Upgrade Armor*,*,*,*,*,Mobility-Forged*,Artifice Armor*,,,,,
Fr0st-EE5,609852545,"""6917529286699735239""",archive,Exotic,Leg Armor,,Hunter,1600,,10,Vault,true,false,1,3,,11,10,17,11,21,4,74,41,9,8,15,9,19,2,62,41,,,"#neutral, #casual #pve, #pvp, high recovery + high intellect",Amethyst Veil*,Upgrade Armor*,*,,*,,*,,*,,Rapid Cooldown*,,
Deep Explorer Grasps,1148597205,"""6917529806525312599""",,Legendary,Gauntlets,duality,Hunter,1600,,10,Vault,true,false,5,17,,4,31,8,8,4,26,81,40,2,26,6,6,2,24,66,40,artifice,,high resilience + high strength,Impact Induction*,Focusing Strike*,Heavy Handed*,Warbrick*,Upgrade Armor*,*,*,*,*,Virtuous Grips*,Resilience-Forged*,Artifice Armor*,
Be Thy Guide,4121880513,"""6917529870635903953""",infuse,Legendary,Hunter Cloak,legendaryengram,Hunter,1778,,1,Vault,false,false,4,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Upgrade Armor*,,,,,,,,,,,,
Lightkin Strides,3827066919,"""6917529470061192610""",,Legendary,Leg Armor,servitor,Hunter,1600,,4,Vault,false,false,4,14,,2,9,20,16,12,2,61,47,2,9,20,16,12,2,61,47,,,high recovery + high total,Upgrade Armor*,*,*,*,*,,,,,,,,
Mouth of Ur,1537426592,"""6917529856240771574""",,Legendary,Helmet,kf,Warlock,1778,,10,Vault,true,false,5,18,,4,16,18,22,4,11,75,50,2,14,16,20,2,9,63,50,kingsfall,,high total,Arc Siphon*,Ashes to Assets*,Special Ammo Finder*,Upgrade Armor*,*,*,*,*,,,,,
Prime Zealot Mask,586128500,"""6917529450862848596""",,Legendary,Helmet,vaultofglass,Hunter,1600,,10,Vault,true,false,4,14,,4,12,22,21,14,4,77,51,2,10,20,19,12,2,65,51,vaultofglass,Shards of Galanor - ,high recovery + high discipline,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Pyrrhic Ascent Mask*,,,,,,
Wing Contender,3091776080,"""6917529561650182710""",,Legendary,Gauntlets,crucible,Hunter,1600,,10,Vault,true,false,3,11,,24,9,4,29,4,4,74,58,22,7,2,27,2,2,62,58,,,high mobility + high discipline,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Epialos Following Grasps*,,,,,,
TM-Earp Custom Vest,597199405,"""6917529854485370599""",,Legendary,Chest Armor,dungeon,Hunter,1600,,10,Vault,false,false,5,19,,4,15,19,18,16,4,76,48,2,13,17,16,14,2,64,48,,,high total,Upgrade Armor*,*,*,*,*,,,,,,,,
Wormhusk Crown,3562696927,"""6917529153032352728""",junk,Exotic,Helmet,,Hunter,1600,,10,Vault,false,false,1,3,,11,4,21,13,12,11,72,41,9,2,19,11,10,9,60,41,,,"#neutral, #pvp, high recovery",Refurbished Black Armory*,Upgrade Armor*,*,*,*,*,The Gate Lord*,Burning Souls*,,,,,
Tusked Allegiance Hood,849255710,"""6917529760210090883""",,Legendary,Helmet,psiops,Warlock,1600,,10,Vault,true,false,5,16,,8,26,4,28,4,4,74,52,6,24,2,26,2,2,62,52,,,high resilience + high discipline,Upgrade Armor*,*,*,*,*,,,,,,,,
Candescent Boots,2022821262,"""6917529803860958527""",,Legendary,Leg Armor,events,Warlock,1600,,1,Vault,false,false,5,17,Solstice,2,15,14,14,2,15,62,43,2,15,14,14,2,15,62,43,,,high total,Upgrade Armor*,*,*,*,*,,,,,,,,
Twisting Echo Vest,3587911011,"""6917529546814871685""",,Legendary,Chest Armor,30th,Hunter,1600,,1,Vault,false,false,4,15,,7,9,14,15,7,10,62,45,7,9,14,15,7,10,62,45,,,keep until better artifice armor,Upgrade Armor*,*,*,*,*,Artifice Armor*,,,,,,,
Moonfang-X7 Gloves,1361912510,"""6917529871133586359""",infuse,Legendary,Gauntlets,dungeon,Warlock,1784,,4,Vault,false,false,3,11,,8,16,6,6,2,23,61,28,8,16,6,6,2,23,61,28,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Tusked Allegiance Gloves,119228495,"""6917529867578952490""",,Legendary,Gauntlets,psiops,Warlock,1770,,10,Vault,true,false,5,16,,9,36,4,25,4,9,87,49,7,24,2,23,2,7,65,49,,PvP Eye of Another World - ,high resilience + high discipline,Resilience Mod*,Firepower*,Momentum Transfer*,Impact Induction*,Iron Countershade*,Upgrade Armor*,*,*,*,*,Valkyrian Gloves*,,
Legacy's Oath Vest,4001862073,"""6917529849650594563""",,Legendary,Chest Armor,deepstonecrypt,Hunter,1600,,10,Vault,true,false,4,12,,4,21,11,21,4,13,74,49,2,19,9,19,2,11,62,49,deepstonecrypt,Athrys's Embrace - ,high resilience + high discipline,Upgrade Armor*,*,*,*,*,,,,,,,,
Lost Pacific Vest,1833326563,"""6917529807398145790""",,Legendary,Chest Armor,,Hunter,1600,,10,Vault,true,false,4,15,,4,32,4,15,16,4,75,47,2,30,2,13,14,2,63,47,,,high resilience,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Empyrean Cartographer Vest*,,,,,,
Vest of the Ace-Defiant,2232730709,"""6917529207180348542""",,Legendary,Chest Armor,dcv,Hunter,1600,,10,Vault,true,false,3,11,,8,9,20,24,4,9,74,53,6,7,18,22,2,7,62,53,,,high recovery + high discipline,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Nemean Cuirass*,,,,,,
Illuminus Grasps (Magnificent),2245996336,"""6917529420810143017""",archive,Legendary,Gauntlets,events,Hunter,1600,,10,Vault,true,false,4,14,Solstice,8,4,28,4,24,9,77,36,6,2,26,2,22,7,65,36,,,high recovery + high intellect,Deprecated Armor Mod*,Carminica*,Upgrade Armor*,*,*,*,*,Dendrite Shimmer Grips*,,,,,
Twisting Echo Grips,2308793821,"""6917529552497900613""",archive,Legendary,Gauntlets,30th,Hunter,1600,,10,Vault,true,false,4,15,,13,4,19,10,25,4,75,38,11,2,17,8,23,2,63,38,,PvP Stompees,high intellect + high total,Atmospheric Glow*,Upgrade Armor*,*,*,*,*,Wild Hunt Grasps*,,,,,,
Lightkin Strides,3827066919,"""6917529590901652248""",,Legendary,Leg Armor,servitor,Hunter,1600,,10,Vault,true,false,4,14,,4,4,28,26,4,8,74,54,2,2,26,24,2,6,62,54,,,high recovery + high discipline,Amethyst Veil*,Upgrade Armor*,*,*,*,*,Iron Symmachy Strides*,,,,,,
Twisting Echo Grips,2308793821,"""6917529552533358675""",,Legendary,Gauntlets,30th,Hunter,1600,,10,Vault,true,false,4,15,,13,4,24,20,4,12,77,50,11,2,19,18,2,10,62,50,,Stompees,"#pvp, high recovery + high discipline",Bloody Tooth*,Upgrade Armor*,*,*,*,*,Luxe Sleeves*,Recovery-Forged*,Artifice Armor*,,,,
Moonfang-X7 Robe,1658294130,"""6917529871138335194""",infuse,Legendary,Chest Armor,dungeon,Warlock,1791,,3,Vault,false,false,3,11,,6,16,9,9,17,2,59,34,6,16,9,9,17,2,59,34,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Robes of the Emperor's Minister,1230192769,"""6917529197657682679""",,Legendary,Chest Armor,dcv,Warlock,1600,,10,Vault,true,false,3,11,,9,8,22,26,4,8,77,50,7,6,20,24,2,6,65,50,," - Dawn Chorus - ,  - Last Wish - ",high recovery + high discipline,Crucible Redjack*,Upgrade Armor*,*,*,*,*,Pyrrhic Ascent Vestment*,,,,,,
Chasm of Yul,3921733799,"""6917529817385575921""",,Legendary,Chest Armor,kf,Warlock,1600,,10,Vault,true,false,5,18,,4,10,22,23,10,4,73,49,2,8,20,21,8,2,61,49,kingsfall,Stag Master KF,"#raid, high recovery + high discipline, replace iron fellowship robes",Metro Shift*,Upgrade Armor*,*,*,*,*,Atavistic Idol Vestments*,,,,,,
Channeling Cowl (CODA),2602907742,"""6917529871147295497""",infuse,Legendary,Helmet,dungeon,Warlock,1785,,1,Vault,false,false,3,11,,6,19,7,10,6,14,62,36,6,19,7,10,6,14,62,36,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Gloves of the Hezen Lords,3253292022,"""6917529629783158403""",,Legendary,Gauntlets,vaultofglass,Warlock,1600,,10,Vault,true,false,4,14,,4,9,26,25,10,4,78,54,2,7,24,23,8,2,66,54,vaultofglass,Verity's Brow - ,"#raid, high recovery + high discipline",Basalt Toxic*,Upgrade Armor*,*,*,*,*,Corrupting Echo Gloves*,,,,,,
Boots of the Emperor's Agent,3853397100,"""6917529199884090738""",,Legendary,Leg Armor,dcv,Hunter,1600,,10,Vault,true,false,3,11,,14,11,12,27,4,8,76,56,12,9,10,25,2,6,64,56,,"Shards of Galanor - , Omnioculus - ","#pve, high discipline",Recuperation*,Arc Weapon Surge*,Stacks on Stacks*,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Crystocrene Strides*,,,
Pathfinder's Legguards,2675526370,"""6917529450955623764""",,Legendary,Leg Armor,lost,Hunter,1600,,10,Vault,true,false,4,15,,8,4,28,9,22,4,75,41,6,2,26,7,20,2,63,41,,,high recovery + high intellect,Recuperation*,Arc Weapon Surge*,Stacks on Stacks*,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Dendrite Shimmer Strides*,,,
Iron Fellowship Robes,2522706952,"""6917529196900219632""",,Legendary,Chest Armor,ironbanner,Warlock,1600,,10,Vault,true,false,3,11,,4,10,22,19,9,10,74,45,2,8,20,17,7,8,62,45,,"PvP Transversives, PvP Astrocyte - ,  - PvP EoAW","#pvp, high recovery + high discipline, usually takes sister shader with ada armor, keep for iron banner bonus",Iron Countershade*,Upgrade Armor*,*,*,*,*,Pyrrhic Ascent Vestment*,Iron Lord's Pride*,,,,,
BrayTech Researcher's Hood,1991627398,"""6917529692869947537""",archive,Legendary,Helmet,,Warlock,1600,,10,Vault,true,false,3,10,,4,12,23,4,26,8,77,33,2,10,21,2,24,6,65,33,,,"#pve, high intellect + high recovery",Vintage Timber*,Upgrade Armor*,*,*,*,*,Dawn Singer Hood*,,,,,,
Khepri's Sting,2757274117,"""6917529855588922814""",,Exotic,Gauntlets,,Hunter,1600,,1,Vault,false,false,2,7,,13,14,6,2,15,15,65,35,13,14,6,2,15,15,65,35,,,#pvp,Upgrade Armor*,*,*,*,*,Touch of Venom*,,,,,,,
Candescent Gauntlets,1068450901,"""6917529799382160907""",,Legendary,Gauntlets,events,Titan,1600,,1,Vault,true,false,5,17,Solstice,2,12,20,12,6,12,64,44,2,12,20,12,6,12,64,44,,,high total,Bitterpearl*,Upgrade Armor*,*,*,*,*,Solstice Gauntlets (Resplendent)*,,,,,,
Antaeus Wards,2423243921,"""6917529857304128175""",,Exotic,Leg Armor,,Titan,1600,,2,Vault,false,false,2,4,,10,17,7,29,2,2,67,53,10,17,7,29,2,2,67,53,,,high resilience + high discipline,Upgrade Armor*,*,*,*,*,Reflective Vents*,,,,,,,
Holdfast Gloves,327547301,"""6917529196695592888""",archive,Legendary,Gauntlets,seasonpass,Warlock,1600,,10,Vault,true,false,3,11,,4,4,29,8,23,4,72,35,2,2,27,6,21,2,60,35,,"PvP Astrocyte - ,  - PvP EoAW","#pvp, high recovery + high intellect",Royal Welcome*,Upgrade Armor*,*,*,*,*,Iron Symmachy Gloves*,,,,,,
Promethium Spur,235591051,"""6917529137728016722""",,Exotic,Leg Armor,,Warlock,1600,,7,Vault,true,false,3,9,,7,2,17,2,2,27,57,21,7,2,17,2,2,27,57,21,,,"#solar, #pve",Upgrade Armor*,*,*,*,*,Embers of Light*,,,,,,,
ACD/0 Feedback Fence,2563444729,"""6917529804898078594""",,Exotic,Gauntlets,,Titan,1600,,1,Vault,false,false,1,1,,9,18,6,16,8,7,64,40,9,18,6,16,8,7,64,40,,,#pvp,Upgrade Armor*,*,*,*,*,Endless Loop*,Fury Conductors*,,,,,,
Transversive Steps,138282166,"""6917529629868307468""",archive,Exotic,Leg Armor,,Warlock,1600,,9,Vault,true,false,1,1,,7,2,25,6,23,2,65,33,7,2,25,6,23,2,65,33,,PvP Transversives,"#neutral, #pvp, high recovery + high intellect",Smudgepot Bruise*,Upgrade Armor*,*,*,*,*,Path to Convergence*,Strange Protractor*,,,,,
Candescent Helm,3967067356,"""6917529800044513887""",,Legendary,Helmet,events,Titan,1600,,10,Vault,true,false,5,17,Solstice,4,22,14,14,20,4,78,44,2,20,12,12,18,2,66,44,,,high total,Atmospheric Glow*,Upgrade Armor*,*,*,*,*,Atavistic Idol Helmet*,,,,,,
Legacy's Oath Mask,893751566,"""6917529858090923686""",,Legendary,Helmet,deepstonecrypt,Hunter,1600,,2,Vault,false,false,4,12,,10,16,6,15,2,13,62,47,10,16,6,15,2,13,62,47,deepstonecrypt,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Tusked Allegiance Helmet,2240729575,"""6917529760062212524""",,Legendary,Helmet,psiops,Titan,1600,,10,Vault,true,false,5,16,,4,14,20,16,17,4,75,44,2,12,18,14,15,2,63,44,, - Phoenix Cradle - ,"high total, id:6917529760062212524 is better but I'm not sure it makes enought of a difference",New Age Black Armory*,Upgrade Armor*,*,*,*,*,Knightly Noire Helm*,,,,,,
Legacy's Oath Vest,4001862073,"""6917529858116950709""",,Legendary,Chest Armor,deepstonecrypt,Hunter,1600,,1,Vault,false,false,4,12,,2,20,11,16,8,8,65,49,2,20,11,16,8,8,65,49,deepstonecrypt,,high total,Upgrade Armor*,*,*,*,*,,,,,,,,
Candescent Boots,2022821262,"""6917529799190926158""",,Legendary,Leg Armor,events,Warlock,1600,,10,Vault,true,false,5,17,Solstice,4,22,14,22,4,11,77,52,2,20,12,20,2,9,65,52,,"Verity's Brow - ,  - Crown of Tempest - , Aeons - ","#pve, high total",Royal Welcome*,Upgrade Armor*,*,*,*,*,,,,,,,
Bond of the Great Hunt,3570956455,"""6917529210851977231""",,Legendary,Warlock Bond,lastwish,Warlock,1600,,10,Vault,true,false,4,12,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,lastwish, - Last Wish - ,#raid,Transcendent Blessing*,Iron Gold*,Upgrade Armor*,Taken Armaments*,,,,,,,,,
Tesseract Trace IV,1655109893,"""6917529500852509773""",,Legendary,Leg Armor,legendaryengram,Warlock,1728,,10,Vault,true,false,3,11,,8,14,21,27,8,4,82,51,6,7,19,25,6,2,65,51,,"Stag PvE - , Stag PvE - ","#pve, high recovery + high discipline",Minor Resilience Mod*,Solar Weapon Surge*,Recuperation*,Stacks on Stacks*,Royal Dye*,Upgrade Armor*,*,*,*,*,Celestine Boots*,,
Bond of Sekris,574916072,"""6917529197317824109""",,Legendary,Warlock Bond,dcv,Warlock,1600,,10,Vault,true,false,3,11,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,, - PvP EoAW,#pvp,Kairos Bronze*,Upgrade Armor*,Eater of Worlds Ornament*,,,,,,,,,,
Sunbracers,3787517196,"""6917529263169109662""",,Exotic,Gauntlets,,Warlock,1600,,9,Vault,true,false,1,1,,15,6,11,21,2,8,63,38,15,6,11,21,2,8,63,38,,,"#solar, #casual #pve",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Eyes of Mercury*,Helium Spirals*,,,,,
